id,name_zhs,name_en,rarity,description_zhs,description_en,flavor_zhs,flavor_en,class
Shovel,铲子,Shovel,稀有,现在你可以在休息处 #y挖掘 遗物。,You can now #yDig for relics at Rest Sites.,高塔中有着无数过去文明遗留下的遗物和强大的冒险者们遗失的宝物，现在你可以把它们挖出来了！,The Spire houses all number of relics from past civilizations and powerful adventurers lost to time. Time to go dig them up!,通用
Turnip,萝卜,Turnip,稀有,你不会再被 #y脆弱 。,You can no longer become #yFrail.,与生姜搭配尤为适合,"Best with Ginger.""",通用
Sundial,日晷,Sundial,罕见,你每洗牌 #b3次，获得2点能量。,"Every #b3 times you shuffle your draw pile, gain 2 energy.","“古代人类愚昧地执着于时间，他们抬头望向天空，希望能得到永恒的引导。”——佐罗斯""","Early man's foolish obsession with time caused them to look to the sky for guidance, hoping for something permanent."" - Zoroth",通用
The Specimen,生物样本,The Specimen,稀有,每当有敌人死去时，将其身上的 #y中毒 层数移到一名随机敌人身上。,"Whenever an enemy dies, transfer any #yPoison it has to a random enemy.",“有意思！我发现了一个有着惊人毒性的变异生物，先采集份样本以后再仔细研究吧。”——兰伟德,Fascinating! I found a mutated creature demonstrating astounding toxic properties. Storing a sample for later examination.- Ranwid,静默猎手
Thread and Needle,针线,Thread and Needle,稀有,在每场战斗开始时，获得 #b4层 #y多层护甲 。,Start each combat with #b4 #yPlated #yArmor.,将这些魔法线缠绕在你的周围时，你觉得自己变得更坚硬了。,"Wrapping the magical thread around your body, you feel harder to the touch.",通用
Tingsha,铜钹,Tingsha,稀有,你每在你的回合丢弃一张牌，就对一名随机敌人造成 #b 点伤害。,"Whenever you discard a card during your turn, deal #b3 damage to a random enemy.",这件乐器发出的响声似乎能回荡到让人耳朵发痛。,The sound this instrument generates seems to be capable of reverberating to painful levels of volume.,静默猎手
Torii,鸟居,Torii,稀有,每当你受到小于等于 #b5点的未被格挡 #y攻击 伤害时，将伤害降低为 #b1。,"Whenever you would receive #b5 or less unblocked attack damage, reduce it to #b1.",你拿着这个小小的鸟居，感觉心中有一股宁静与安全的感觉。,"Holding the small Torii, you feel a sense of calm and safety drift through your mind.",通用
Tough Bandages,结实绷带,Tough Bandages,稀有,你每在你的回合丢弃一张牌，就获得 #b3点 #y格挡 。,"Whenever you discard a card during your turn, gain #b3 #yBlock.",失去给人带来力量,Loss gives strength.,静默猎手
Unceasing Top,不休陀螺,Unceasing Top,稀有,在你的回合，当你没有手牌时，抽一张牌。,"Whenever you have no cards in hand during your turn, draw a card.",这个陀螺始终轻松地旋转着，让你觉得自己仿佛是在梦中。,The top continues to spin effortlessly as if you were in a dream.,通用
Incense Burner,香炉,Incense Burner,稀有,每 #b6 回合，获得 #b1 层 #y无实体 。,"Every #b6 turns, gain #b1 #yIntangible.",香炉中的烟让拥有者获得被焚烧者的灵力。,The smoke imbues its owner with the spirit of the burned.,通用
Stone Calendar,历石,StoneCalendar,稀有,在第 #b7 回合结束时，对所有敌人造成 #b52 点伤害。,"At the end of turn #b, deal #b damage to ALL enemies.",在高塔中几乎感觉不到时间的流逝。,The passage of time is imperceptible in the Spire.,通用
Pocketwatch,怀表,Pocketwatch,稀有,若你在某个回合打出的牌少于等于 #b3 张，则在你的下个回合开始时额外抽 #b3 张牌。,"Whenever you play #b3 or less cards during your turn, draw #b3 additional cards at the start of your next turn.",指针似乎永远卡在3点的位置。,The hands seem stuck on the 3 o'clock position.,通用
Fossilized Helix,螺类化石,FossilizedHelix,稀有,阻止你在每场战斗中第一次受到的生命值损伤。,Prevent the first time you would lose HP each combat.,似乎坚不可摧，你很好奇究竟是何种生物曾拥有这样的部分。,"Seemingly indestructible, you wonder what kind of creature this belonged to.",通用
Winged Greaves,羽翼之靴,WingedGreaves,稀有,你在选择下一层的房间时有3次机会可以无视当前的路线。,You may ignore paths when choosing the next room to travel to #b3 times.,很帅气。,Stylish.,通用
Cloak Clasp,斗篷扣,CloakClasp,稀有,在你的回合结束时，每有一张手牌获得 #b1 点 #y格挡。,"At the end of your turn, gain #b1 #yBlock for each card in your hand.",设计简约但牢固。,A simple but sturdy design.,观者
Tungsten Rod,钨合金棍,TungstenRod,稀有,你每次失去生命时，减少失去的生命值 #b1 点。,"Whenever you would lose HP, lose #b1 less.",非常非常重,It's very very heavy.,通用
Captains Wheel,舵盘,CaptainsWheel,稀有,在你的第三回合开始时，获得 #b18 点 #y格挡。,"At the start of your 3rd turn, gain #b18 #yBlock.",精雕细琢的木质物件，上面用陌生的语言刻着一个名字。,Wooden trinket carved with delicate precision. A name is carved into it but the language is foreign.,通用
Golden Eye,黄金眼,Golden Eye,稀有,你每次 #y预见 时，额外 #y预见 #b2 张牌。,"Whenever you #yScry, #yScry #b2 additional cards.",能够看见近处生灵的心智，让你可以预判他们将来的动作。,"See into the minds of those nearby, predicting their future moves.",观者
Astrolabe,星盘,Astrolabe,BOSS,拾起时，选择 #b3 张牌进行 #y变化 ，然后将这些牌 #y升级 。,"Upon pickup, #yTransform #b3 cards, then #yUpgrade them.",可以从星星中探知宝贵知识的工具。,A tool to glean invaluable knowledge from the stars.,通用
Black Blood,黑暗之血,Black Blood,BOSS,替换 #r燃烧之血 。在战斗结束时，回复 #b12点生命。,"Replaces #rBurning #rBlood. At the end of combat, heal #b12 HP.",你的愤怒变得更加黑暗。,The rage grows darker.,铁甲战士
Black Star,黑星,Black Star,BOSS,#y精英 敌人在被打败时多掉落一件 #y遗物 。,Elites drop an additional relic when defeated.,最初在蛇镇上发现的遗物，当时被放在一根蜡烛旁边。,"Originally discovered in the town of the serpent, beside a solitary candle.",通用
Calling Bell,召唤铃铛,Calling Bell,BOSS,获得一个独特的 #r诅咒 和 #b3 件 #y遗物 。,"Upon pickup, obtain a unique #rCurse and #b3 relics.",这个黑铁铃铛在你找到它时作响了3次，但现在它已经不再响了。,"his dark iron bell rang 3 times when you found it, but now stays silent.",通用
Cursed Key,诅咒钥匙,Cursed Key,BOSS,你每次打开一个非Boss宝箱，都会获得一张 #r诅咒 。在每回合开始时获得一点能量。,"at the start of your turn.gain 1 energy. Whenever you open a non-Boss chest, obtain a #rCurse.",你能感到这把钥匙上散发出邪恶的能量。力量总是需要付出代价的。,You can feel the malicious energy emanating from the key. Power comes at a price.,通用
Inserter,机械臂,Inserter,BOSS,每 #b2 回合，获得 #b1 个充能球栏位。,"Every #b2 turns, gain #b1 Orb slot.",抓取。放置。堆叠。重复。,Push. Pull. Stack. Repeat.,故障机器人
Mark of Pain,痛楚印记,Mark of Pain,BOSS,每回合开始获得 [R] 。在战斗开始时，将 #b2 张 #r伤口 放入你的抽牌堆。,"Gain [R] at the start of your turn. At the start of combat, shuffle #b2 #rWounds into your draw pile.",北方部落中使用这个工具来给那些在战斗中掌握痛楚的战士们打上烙印。,This brand was used by the northern tribes to signify warriors who had mastered pain in battle.,通用
Nuclear Battery,核能电池,Nuclear Battery,BOSS,在每场战斗开始时， #y生成 #b1 个 #y等离子 充能球。,"At the start of each combat, #yChannel #b1 #yPlasma.",哇噢……,Ooooh...,故障机器人
Pandora's Box,潘多拉魔盒,Pandora's Box,BOSS,#b变化 所有“打击”和“防御”牌。,"Upon pickup, #bTransform all Strike and Defend cards.",你觉得打开这个盒子会很不吉利。,You have a bad feeling about opening this.,通用
Philosopher's Stone,贤者之石,Philosopher's Stone,BOSS,在每回合开始时获得一点能量。所有敌人初始获得 #b1点 #y力量。,Gain an energy at the start of your turn. ALL enemies start combat with #b1 #yStrength.,这块石头中散发出纯粹的能量，所有周围的人与物都会因此而变强。,"Raw energy emanates from the stone, empowering all nearby.",通用
Ring of the Serpent,长蛇戒指,Ring of the Serpent,BOSS,替换 #g蛇之戒指 。在你的每个回合开始时，额外抽 #b1 张牌。,"Replaces #gRing #gof #gthe #gSnake.At the start of your turn, draw #b1 additional card.",你的戒指改变了形态，焕然一新。,Your ring has morphed and changed forms.,静默猎手
Runic Cube,符文立方体,Runic Cube,BOSS,每当你失去生命时，抽 #b1 张牌。,"Whenever you lose HP, draw #b1 card.",上面的符文无法辨识。,The runes are indecipherable.,通用
Runic Dome,符文圆顶,Runic Dome,BOSS,你无法再看见敌人的 #b意图 。在每回合开始时获得一点能量。,At the start of your turn gain an energy. You can no longer see enemy intents.,上面的符文无法辨识,The runes are indecipherable.,通用
Runic Pyramid,符文金字塔,Runic Pyramid,BOSS,你在回合结束时不再自动丢弃所有手牌。,"At the end of your turn, you no longer discard your hand.",上面的符文无法辨识,The runes are indecipherable.,通用
Snecko Eye,异蛇之眼,Snecko Eye,BOSS,每回合多抽 #b2 张牌。每场战斗开始时获得 #y混乱 效果。,"At the start of your turn, draw #b2 additional cards. Start each combat #yConfused.",一条死去异蛇的眼珠，比你想象中的要大上不少。,An eye of a fallen snecko. Much larger than you imagined.,通用
Sozu,添水,Sozu,BOSS,你无法再获得药水。在每回合开始时获得一点能量。,Gain 1 Energy at the start of each turn. You can no longer obtain potions.,你注意到所有带魔力的液体在接近这件遗物时都会失去效力。,You notice that magical liquids seem to lose their properties when near this relic.,通用
Ectoplasm,灵体外质,Ectoplasm,BOSS,你不能再获得任何 #y金币 。在回合开始时获得一点能量。,ou can no longer gain #yGold.Gain an energy at the start of your turn.,这团黏液与能量的混合物微微脉动，仿佛有着生命。,This blob of slime and energy seems to pulse with life.,通用
Tiny House,小屋子,Tiny House,BOSS,拾起时，获得 #b1 瓶药水。 NL 获得 #b50 #y金币 。 NL 将你的最大生命值提升 #b5。 NL 获得 #b1 张牌。 NL 随机升级 #b1 张牌。,"Upon pickup, obtain #b1 potion. NL Gain #b50 #yGold. NL Raise your Max HP by #b. NL Obtain #b1 card. NL Upgrade #b1 random card.",“一项近乎完美的微缩化工程。这是我至今最优秀的作品，但仍然远远不够。”——建筑师,"A near perfect implementation of miniaturization. My finest work to date, but still not adequate. - The Architect",通用
Velvet Choker,天鹅绒颈圈,Velvet Choker,BOSS,你每回合不能打出超过 #b6 张牌。在每回合开始时获得1点能量。,Gain an energy at the start of your turn. You cannot play more than #b6 cards per turn.,“力量巨大，但过于局限。”——忽必烈大帝,"Immense power, but too limited. - Kublai the Great",通用
Busted Crown,破碎金冠,Busted Crown,BOSS,在卡牌奖励画面，可供选择的牌数减少 #b2 张。在每回合开始时获得1点能量。,Gain an energy at the start of your turn. Future card rewards have #b2 less cards to choose from.,第一勇士的金冠……或者只是一个拙劣的仿制品？,The Champ's crown... or a pale imitation?,通用
Empty Cage,空鸟笼,Empty Cage,BOSS,拾起时，选择移除牌组中的 #b2 张牌。,"Upon pickup, remove #b2 cards from your deck.Choose 2 Cards to Remove.",“将崇拜之物关进笼子，这是多么奇异的行为啊。”——兰伟德,"""How unusual to cage that which you worship."" - Ranwid",通用
Fusion Hammer,融合之锤,Fusion Hammer,BOSS,你无法再在休息处锻造升级卡牌。每回合开始时获点得1能量。,Gain an energy at the start of your turn. You can no longer #ySmith at Rest Sites.,一旦握住，就永远无法放下。,"Once wielded, the owner can never let go.",通用
Coffee Dripper,咖啡滤杯,Coffee Dripper,BOSS,你无法再在休息处 #y休息。在每回合开始时获得1点能量。,Gain an energy at the start of your turn. You can no longer #yRest at Rest Sites.,"“好的，请再来一杯。继续工作，继续工作！”——建筑师""","Yes, another cup please. Back to work. Back to work! - The Architect",通用
Hovering Kite,悬浮风筝,HoveringKite,BOSS,你在每回合第一次弃牌时，获得1点能量。,"The first time you discard a card each turn,gain an energy.",风筝在战斗中飘浮在你的身旁，不知是何种神秘的力量让它能浮在空中。,"The Kite floats around you in battle, propelled by a mysterious force.",静默猎手
FrozenCore,冻结核心,FrozenCore,BOSS,替换 #r破损核心 。 如果你在你的回合结束时还有空余的充能球栏位， #y生成 #b1 个 #y冰霜 充能球。,Replaces #rCracked Core.If you end your turn with empty Orb slots.#yChannel #b1 #yForest orb.,某种脉动的冰冷能量充满了你核心中的破损处。,The crack in your core has been filled with a pulsating cold energy.,通用
WristBlade,袖剑,WristBlade,BOSS,费用为0的 #y攻击牌 额外造成 #b4 点伤害。,#yAttacks that cost #b0 deal #b4 additional damage.,实用的暗杀工具。,Handy for assassinations.,静默猎手
Holy Water,圣水,HolyWater,BOSS,在每场战斗开始时，将 #b3 张 #y奇迹 放入你的手牌。,"Replaces #pPure #pWater. At the start of each combat, add #b3 #yMiracles into your hand.",从高塔出现的时代前收集来的水。,Collected from a time before the Spire.,观者
Sacred Bark,神圣树皮,SacredBark,BOSS,药水的效果翻倍。,Double the effectiveness of potions.,传说中来自于世界树上的一块树皮。,A bark rumored to originate from the World tree.,通用
Violet Lotus,紫色莲花,VioletLotus,BOSS,每次你离开 #y平静 时，获得一点额外能量。,"Whenever you exit #yCalm, gain an additional energy.",远古的经书上记载着，“法力池”的水面上总是有许多这些花朵。,"The old texts describe that the surface of \""mana pools\"" were littered with these flowers.",观者
Slavers Collar,奴隶贩子颈环,SlaversCollar,BOSS,在Boss战与精英战中，你在每回合开始时获得1点能量。,"During Boss and Elite combats, gain [E] at the start of your turn.",锈蚀可憎的铁链。,Rusty miserable chains.,通用
Bloody Idol,鲜血神像,Bloody Idol,事件,每当你获得 #y金币 时，回复 #b5 点生命。,"Whenever you gain #yGold, heal #b5 HP.",这个神像现在一直在流着血泪。,The idol now weeps a constant stream of blood.,通用
Enchiridion,英雄宝典,Enchiridion,事件,每场战斗开始时增加一张随机 #y能力牌 到你的手牌，这张牌在第一回合的耗能变为 #b0 。,"At the start of each combat, add a random #yPower card to your hand. It costs #b0 until the end of turn.",一名古老巫妖的传奇日志。,The legendary journal of an ancient lich.,通用
Golden Idol,金神像,Golden Idol,事件,敌人掉落的 #y金币 增加 #b25% 。,Enemies drop #b25% more #yGold.,用纯金制成，只是拿在手里就让你觉得自己有钱了。,"Made of solid gold, you feel richer just holding it.",通用
Necronomicon,死灵之书,Necronomicon,事件,你每回合打出的第一张耗能大于等于 #b2 的  #y攻击牌 将被打出两次。当你拾起这件遗物时，被 #r诅咒 。,"The first #yAttack played each turn that costs #b2 or more is played twice. Upon pickup, obtain a special #rCurse.",只有傻瓜才会想要去掌控这种邪恶的力量。你每晚的梦境中都充斥着这本书将你的心智逐渐吞噬的噩梦。,Only a fool would try and harness this evil power. At night your dreams are haunted by images of the book devouring your mind.,通用
Neows Blessing,涅奥的悲恸,NeowsBlessing,事件,接下来 #b3 场战斗中的敌人将只有 #b1 点生命。,Enemies in your first #b3 combats will have #b1 HP.,涅奥赐予你的祝福，有着悲恸之力。,The blessing of lamentation bestowed by Neow.,通用
Nilry's Codex,尼利的宝典,Nilry's Codex,事件,在每回合结束时，你可以从 #b3 张随机牌中选择 #b1 张，随机洗入你的抽牌堆。,"At the end of your turn, you may shuffle #b1 of #b3 random cards into your draw pile.",由臭名昭著的游戏大师本人编制，据说能拓宽人的心智。,Crafted by the infamous game master himself. Said to expand one's mind.,通用
Nloth's Gift,恩洛斯的礼物,Nloth's Gift,事件,使你在怪物奖励中遇见稀有牌的几率变为 #b3 倍。,Triples the chance of receiving rare cards as monster rewards.,恩洛斯给你的奇怪礼物，每次你试着拆开包装时，都会从里面找到另一个相同大小且包装完好的盒子。,"The strange gift from N'loth. Whenever you try and unwrap it, another wrapped box of the same size lies within.",通用
Odd Mushroom,奇怪蘑菇,Odd Mushroom,事件,当你有 #y易伤 状态时，受到的额外伤害从 #b50% 下降为 #b25% 。,"When #yVulnerable, take #b25% more attack damage rather than #b50%.",吃了寄生毛菇之后，我觉得自己更高大了，也更……不容易受伤了。”——兰伟德,After consuming trichella parastius I felt larger and less... susceptible. - Ranwid,通用
Spirit Poop,精灵便便,Spirit Poop,事件,不管怎么看都很不舒服,It's unpleasant.,你向精灵献上的祭品被烧焦后的遗留物。,The charred remains of your offering to the spirits.,通用
Mark of the Bloom,绽放印记,Mark of the Bloom,事件,你无法再回复生命。,You can no longer heal.,在高塔的深处，思维与现实成为了一体。,"In the Beyond, thoughts and reality are one.",通用
Ssserpent Head,蛇的头,SsserpentHead,事件,每次进入？房间时获得 #b50 #y金币 。,"Whenever you enter a #y? room, gain #b50 #yGold.",最幸福的人生当然就是什么东西都能买得起的土豪生活了！,The most fulfilling of lives is that in which you can buy anything!,通用
Nloths Mask,恩洛斯的饥饿的脸,NlothsMask,事件,你打开的下一个非Boss宝箱将是空的。,The next non-Boss chest you open is empty.,你觉得好饿。,"You feel hungry.""",通用
Face Of Cleric,牧师的脸,FaceOfCleric,事件,每场战斗后你的最大生命值增加 #b1 。,"At the end of combat, raise your Max HP by #b1",人人都爱牧师。,Everyone loves Cleric.,通用
Cultist Mask,邪教徒头套,CultistMask,事件,你觉得自己有开腔的欲望,You feel more talkative.,自己人！自己人！,Part of the Flock!,通用
Gremlin Mask,地精容貌,GremlinMask,事件,在每场战斗开始时，你拥有 #b1 层 #y虚弱 。,Start each combat with #b1 #yWeak.,呜哇，好想逃跑。,Time to run.,通用
Mutagenic Strength,突变之力,MutagenicStrength,事件,在每场战斗开始时获得 #b3 点 #y力量，在你的第一个回合结束时失去 #b3 点 #y力量。,"Start each combat with #b3 #yStrength. At the end of your first turn, lose #b3 #yStrength.",“效果似乎稍纵即逝，只在危险时才会触发。”——佚名,"""The results seem fleeting, triggering when the subject is in danger."" - Unknown",通用
Red Mask,红面具,Red Mask,事件,在每场战斗开始时，给予所有敌人 #b1 层 #y虚弱。,"At the start of each combat, apply #b1 #yWeak to ALL enemies.",这副看起来十分帅气的面具属于红面具强盗团的头子，这么说来，现在你应该是他们的老大了？,This very stylish looking mask belongs to the leader of the Red Mask Bandits. Technically that makes you the leader now?,通用
Warped Tongs,弯曲铁钳,WarpedTongs,事件,在你的每个回合开始时，随机 #y升级 一张你的手牌（只影响本场战斗）。,"At the start of your turn, #yUpgrade a random card in your hand for the rest of combat.",这对被偷来的诅咒铁钳上散发着强烈的怨念，它似乎十分想要回到原本的地方。,The cursed tongs emit a strong desire to return to where they were stolen from.,通用
Cauldron,大锅,Cauldron,商店,拾起时，制作 #b5 瓶随机药水。,"Upon pickup, brews #b5 random potions.",商人其实是位技术相当不错的药剂师。买四送一。,The Merchant is actually a rather skilled potion brewer. Buy 4 get 1 free.,通用
Chemical X,化学物X,Chemical X,商店,耗能为 #bX 的牌的效果数值增加 #b2 点。,The effects of your cost #bX cards are increased by #b2.,警告：严禁与糖、香料还有一切美好的味道混合在一起。,"WARNING: Do not combine with sugar, spice, and everything nice.",通用
Frozen Eye,冻结之眼,Frozen Eye,商店,现在观看 #y抽牌堆 时，卡牌将按顺序排列。,"When viewing your #yDraw #yPile, the cards are now shown in order.",凝视这只眼睛时，你能隐约捕捉到你自己的未来。,"Staring into the eye, you see a glimpse of your future.",通用
Gambling Chip,赌博筹码,Gambling Chip,稀有,在每场战斗开始时，丢弃任意张牌，然后抽相同数量张牌。,"At the start of each combat, discard any number of cards, then draw that many cards.",你能看见筹码的一面上刻着一行小字：“熊的幸运筹码！,"You can see a small inscription on one side. It reads: ""Bear's Lucky Chip!""",通用
Lee's Waffle,李家华夫饼,Lee's Waffle,商店,拾起时，将你的最大生命值提升 #b7 点，并回复所有生命。,"Upon pickup, raise your Max HP by #b7 and heal all of your HP.",“全高塔你能找到的最好吃的东西！今天特地为你烤的。”,Tastiest treat you will find in all the Spire! Baked today just for you.,通用
Medical Kit,医药箱,Medical Kit,商店,可以打出原本 不能被打出 的 #y状态牌 。 打出 #y状态牌 会将其 #y消耗。,"#yUnplayable #yStatus cards can now be played. Whenever you play a #yStatus card, #yExhaust it.",“什么都有！治痒痒、治烧伤、治中毒，应有尽有！”,"Has everything you need! Anti-itch, anti-burn, anti-venom, and more!",通用
Membership Card,会员卡,Membership Card,商店,所有商品打折 #b50% ！,#b50% discount on all products!,“会员资格！只有本店最尊贵的客人，才有机会获得哦！”,Bonus membership offer for my most valuable customers!,通用
Orrery,星系仪,Orrery,商店,从五组三选一的卡牌中选择 #b5 张牌加入你的牌组。,"Upon pickup, choose and add #b5 cards to your deck.","“一旦你理解了宇宙……”——佐罗斯"",",Once you understand the universe... - Zoroth,通用
Runic Capacitor,符文电容器,Runic Capacitor,商店,每场战斗开始时，获得 #b3 个额外充能球栏位。,More is better.,多多益善。,Start each combat with #b3 additional Orb slots.,通用
Strange Spoon,奇怪的勺子,Strange Spoon,商店,应该 #y消耗 的牌在被打出时会有 #b50% 几率只被丢弃。,Cards which #yExhaust when played will instead discard #b50% of the time.,如果你盯着这把勺子看，它似乎就会在你眼前弯曲变形。,"Staring at the spoon, it appears to bend and twist around before your eyes.",通用
The Courier,送货员,The Courier,商店,商人的卡牌、遗物和药水不再会卖光，并且所有商品打折 #b20% 。,The Merchant's personal pet!,这是商人的宠物！,"The Merchant restocks cards, relics, and potions. All prices are reduced by #b20%.",通用
Toolbox,工具箱,Toolbox,商店,在每场战斗开始时，你可以从 #b3 张随机无色牌中选择 #b1 张增加到你的手牌。,"At the start of each combat, choose #b1 of #b3 random Colorless cards and add the chosen card into your hand.",不管面对什么工作，都能找到相应的工具。,A tool for every job.,通用
The Abacus,算盘,abacus,商店,你每次将抽牌堆洗牌时，获得 #b6 点 #y格挡 。,"Whenever you shuffle your draw pile, gain #b6 #yBlock.",“一……二……三……”,One...Two...Three…,通用
Dolly's Mirror,多利之镜,Dolly's Mirror,商店,拾起时，从你的牌组中选择一张牌进行复制。,"Upon pickup, obtain an additional copy of a card in your deck.",“照出来我的样子怪怪的。”,I look funny in this.,通用
Clockwork Souvenir,齿轮工艺品,ClockworkSouvenir,商店,每场战斗开始时，获得 #b1 层 #y人工制品 。,Start each combat with #b1 #yArtifact.,“你看里面齿轮这么多，是不是很精巧。”,So many intricate gears.,通用
Twisted Funnel,扭曲漏斗,TwistedFunnel,商店,在每场战斗开始时，给予所有敌人 #b4 层 #y中毒 。,"At the start of each combat, apply #b4 #yPoison to ALL enemies.",“个人建议不要用这个来喝东西。”,I wouldn't drink out of it.,静默猎手
Hand Drill,手钻,HandDrill,商店,每当你突破敌人的 #y格挡 时，给予其 #b2 层 #y易伤 。,"Whenever you break an enemy's #yBlock, apply #b2 #yVulnerable.",“螺旋超危险的啊。”,Spirals are dangerous.,通用
Sling of Courage,勇气投石索,Sling of Courage,商店,在与精英敌人战斗时，获得 #b2 点 #y力量。,Start each Elite combat with #b2 #yStrength.,“对格外强大的对手非常好用的工具。”,A handy tool for dealing with particularly tough opponents.,通用
Orange Pellets,橙色药丸,OrangePellets,商店,你每在同一回合内打出 #y能力牌 、 #y攻击牌 和 #y技能牌 各一张，移除你身上的所有负面效果。,"Made from various fungi found throughout the Spire, they will stave off any affliction.",“用塔里各处真菌做出来的药，包治百病！”,"Whenever you play a #yPower, #yAttack, and #ySkill in the same turn, remove all of your debuffs.",通用
Brimstone,硫磺,Brimstone,商店,在你的每个回合开始时，你获得 #b2 点 #y力量 ，所有敌人也获得 #b1 #y力量。,"At the start of your turn, gain #b2 #yStrength and ALL enemies gain #b1 #yStrength.",散发出地狱般的高热。,Emanates an infernal heat.,通用
Prismatic Shard,棱镜碎片,PrismaticShard,商店,战斗奖励掉落的卡牌现在会包括无色牌和其他颜色的牌。,Combat reward screens now contain Colorless cards and cards from other colors.,通过碎片，你能以全新的视角观察这个世界。,"Looking through the shard, you are able to see entirely new perspectives.",通用
Melange,美琅脂,Melange,商店,你每次将抽牌堆洗牌时， #y预见 #b3.,"Whenever you shuffle your draw pile, #yScry #b3",来源不明的神秘沙子，气味有点像肉桂。,Mysterious sands from an unknown origin. Smells of cinnamon.,观者
Circlet,头环,Circlet,特殊,多多益善。,Collect as many as you can.,你已经没有更多遗物可以拿了。厉害！,You ran out of relics to find. Impressive!,通用
